,Value
2019-12-20,134360538.73076564
2019-12-23,133527885.31842029
2019-12-24,133262936.75219795
2019-12-26,132505988.45474066
2019-12-27,133212477.57416996
2019-12-30,137350536.01855844
2019-12-31,139936817.72528905
2020-01-01,139974661.89048347
2020-01-02,144592119.7009867
2020-01-03,145336468.31955048
2020-01-06,141728290.93267974
2020-01-07,140390987.67180035
2020-01-08,138006564.51677102
2020-01-09,143570229.46745387
2020-01-10,147695664.39333802
2020-01-13,147708273.14020598
2020-01-14,148288620.73471853
2020-01-15,150395495.94559228
2020-01-16,150143174.13280547
2020-01-17,149487141.0088402
2020-01-20,149058193.53550205
2020-01-21,145841105.96244276
2020-01-22,141892279.32488722
2020-01-23,141892279.32488722
2020-01-24,141892279.32488722
2020-01-27,141892279.32488722
2020-01-28,141892279.32488722
2020-01-29,141892279.32488722
2020-01-30,141892279.32488722
2020-01-31,141892279.32488722
2020-02-03,141892279.32488722
2020-02-04,141892279.32488722
2020-02-05,141892279.32488722
2020-02-06,141892279.32488722
2020-02-07,141892279.32488722
2020-02-10,141892279.32488722
2020-02-11,141892279.32488722
2020-02-12,141892279.32488722
2020-02-13,141892279.32488722
2020-02-14,141892279.32488722
2020-02-17,141892279.32488722
2020-02-18,141892279.32488722
2020-02-19,141892279.32488722
2020-02-20,141892279.32488722
2020-02-24,141892279.32488722
2020-02-25,141892279.32488722
2020-02-26,141892279.32488722
2020-02-27,141892279.32488722
2020-02-28,141892279.32488722
2020-03-02,141892279.32488722
2020-03-03,141892279.32488722
2020-03-04,141892279.32488722
2020-03-05,141892279.32488722
2020-03-06,141892279.32488722
2020-03-09,141892279.32488722
2020-03-11,141892279.32488722
2020-03-12,141892279.32488722
2020-03-13,141892279.32488722
2020-03-16,141892279.32488722
2020-03-17,141892279.32488722
2020-03-18,141892279.32488722
2020-03-19,141892279.32488722
2020-03-20,141892279.32488722
2020-03-23,141892279.32488722
2020-03-24,141892279.32488722
2020-03-25,141892279.32488722
2020-03-26,141892279.32488722
2020-03-27,141892279.32488722
2020-03-30,141892279.32488722
2020-03-31,141892279.32488722
2020-04-01,141892279.32488722
2020-04-03,141892279.32488722
2020-04-07,141892279.32488722
2020-04-08,141892279.32488722
2020-04-09,141892279.32488722
2020-04-13,141892299.32488722
2020-04-15,141260407.41196203
2020-04-16,139680666.97294042
2020-04-17,145241350.2083119
2020-04-20,151244365.82595357
2020-04-21,143219284.9834906
2020-04-22,142176660.88021365
2020-04-23,145146574.08938333
2020-04-24,142239854.68607184
2020-04-27,142966530.5762513
2020-04-28,145557303.99174705
2020-04-29,147863731.52932984
2020-04-30,172476089.52439365
2020-05-04,159616991.14864933
2020-05-05,156773466.70985737
2020-05-06,156394315.35703996
2020-05-07,157500152.160938
2020-05-08,155794026.85580418
2020-05-11,163124016.4027511
2020-05-12,162650099.8553995
2020-05-13,168052803.79469094
2020-05-14,159016700.47039783
2020-05-15,159553806.2487881
2020-05-18,154656593.14755628
2020-05-19,154656593.14755628
2020-05-20,154656593.14755628
2020-05-21,154656613.14755628
2020-05-22,152510308.17164442
2020-05-26,154166005.10086432
2020-05-27,154166025.10086432
2020-05-28,157285076.22949767
2020-05-29,156951971.6593693
2020-06-01,162766120.82961345
2020-06-02,171729620.10762757
2020-06-03,180238883.13163856
2020-06-04,179693812.20880708
2020-06-05,195167943.31223896
2020-06-08,210732926.09097633
2020-06-09,205675821.7525449
2020-06-10,201618021.1680242
2020-06-11,195198222.8619219
2020-06-12,187476292.95766008
2020-06-15,184841756.92284328
2020-06-16,175787400.22060594
2020-06-17,175787400.22060594
2020-06-18,175787400.22060594
2020-06-19,175787400.22060594
2020-06-22,175787420.22060594
2020-06-23,177923870.4296569
2020-06-24,182196776.59686947
2020-06-25,177610522.00862363
2020-06-26,175360129.60425892
2020-06-29,170289590.18103454
2020-06-30,170289590.18103454
2020-07-01,170289590.18103454
2020-07-02,170289590.18103454
2020-07-03,170289610.18103454
2020-07-06,176568329.8023283
2020-07-07,180007966.22605827
2020-07-08,174930395.18749648
2020-07-09,175012287.10781142
2020-07-10,175585571.4116566
2020-07-13,178506535.72348085
2020-07-14,172964884.45986167
2020-07-15,170617181.22449946
2020-07-16,170617181.22449946
2020-07-17,170617201.22449946
2020-07-20,169862856.86570174
2020-07-21,174388945.37736085
2020-07-22,171964250.42448208
2020-07-23,170913556.342729
2020-07-24,168084738.00588632
2020-07-27,168084738.00588632
2020-07-28,168084738.00588632
2020-07-29,168084758.00588632
2020-07-30,164874099.30384865
2020-07-31,164874099.30384865
2020-08-03,164874119.30384865
2020-08-04,168367745.1482715
2020-08-05,172210729.86993602
2020-08-06,174681221.52063024
2020-08-07,177076843.51811427
2020-08-10,183789596.39950773
2020-08-11,184413462.9352863
2020-08-12,185835863.64782423
2020-08-13,193372106.1628616
2020-08-14,190128032.8406318
2020-08-17,184862640.80497196
2020-08-18,188006898.74955428
2020-08-19,188406180.16585383
2020-08-20,183889421.47142747
2020-08-21,182292328.38191757
2020-08-24,182167538.059803
2020-08-25,182167558.059803
2020-08-26,196052058.99926782
2020-08-27,208219143.23729953
2020-08-28,207783730.8460719
2020-08-31,207711147.0608769
2020-09-01,207711150.94825983
2020-09-02,214508280.39023566
2020-09-03,220894180.51532724
2020-09-04,216951372.41042778
2020-09-07,217410957.74400574
2020-09-08,209525347.9271619
2020-09-09,202002560.15291858
2020-09-10,205993740.24440557
2020-09-11,209356004.87410644
2020-09-14,215354896.2739923
2020-09-15,214967873.09748405
2020-09-16,219781496.0847067
2020-09-17,215209747.43302748
2020-09-18,215112990.7152496
2020-09-21,203526432.4450336
2020-09-22,203526432.4450336
2020-09-23,203526432.4450336
2020-09-24,203526432.4450336
2020-09-25,203526432.4450336
2020-09-28,203526432.4450336
2020-09-29,203526432.4450336
2020-09-30,203526432.4450336
2020-10-01,203526432.4450336
2020-10-05,203526432.4450336
2020-10-06,203526452.4450336
2020-10-07,202930008.8477489
2020-10-08,202333594.92565706
2020-10-09,199971717.35139957
