,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-21 18:30:00,19744.849609375,19798.650390625,19657.5,19674.25,246400.0,0.0,0.0
2023-09-24 18:30:00,19678.19921875,19734.150390625,19601.55078125,19674.55078125,188400.0,0.0,0.0
2023-09-25 18:30:00,19682.80078125,19699.349609375,19637.44921875,19664.69921875,204900.0,0.0,0.0
2023-09-26 18:30:00,19637.05078125,19730.69921875,19554.0,19716.44921875,203600.0,0.0,0.0
2023-09-27 18:30:00,19761.80078125,19766.650390625,19492.099609375,19523.55078125,352800.0,0.0,0.0
2023-09-28 18:30:00,19581.19921875,19726.25,19551.05078125,19638.30078125,243500.0,0.0,0.0
2023-10-02 18:30:00,19622.400390625,19623.19921875,19479.650390625,19528.75,221700.0,0.0,0.0
2023-10-03 18:30:00,19446.30078125,19457.80078125,19333.599609375,19436.099609375,277100.0,0.0,0.0
2023-10-04 18:30:00,19521.849609375,19576.94921875,19487.30078125,19545.75,234900.0,0.0,0.0
2023-10-05 18:30:00,19621.19921875,19675.75,19589.400390625,19653.5,159100.0,0.0,0.0
2023-10-08 18:30:00,19539.44921875,19588.94921875,19480.5,19512.349609375,165100.0,0.0,0.0
2023-10-09 18:30:00,19565.599609375,19717.80078125,19565.44921875,19689.849609375,216600.0,0.0,0.0
2023-10-10 18:30:00,19767.0,19839.19921875,19756.94921875,19811.349609375,213700.0,0.0,0.0
2023-10-11 18:30:00,19822.69921875,19843.30078125,19772.650390625,19794.0,217900.0,0.0,0.0
2023-10-12 18:30:00,19654.55078125,19805.400390625,19635.30078125,19751.05078125,255000.0,0.0,0.0
2023-10-15 18:30:00,19737.25,19781.30078125,19691.849609375,19731.75,181000.0,0.0,0.0
2023-10-16 18:30:00,19843.19921875,19849.75,19775.650390625,19811.5,185800.0,0.0,0.0
2023-10-17 18:30:00,19820.44921875,19840.94921875,19659.94921875,19671.099609375,198900.0,0.0,0.0
2023-10-18 18:30:00,19545.19921875,19681.80078125,19512.349609375,19624.69921875,230300.0,0.0,0.0
2023-10-19 18:30:00,19542.150390625,19593.80078125,19518.69921875,19542.650390625,198300.0,0.0,0.0
2023-10-22 18:30:00,19521.599609375,19556.849609375,19257.849609375,19281.75,176000.0,0.0,0.0
2023-10-24 18:30:00,19286.44921875,19347.30078125,19074.150390625,19122.150390625,225300.0,0.0,0.0
2023-10-25 18:30:00,19027.25,19041.69921875,18837.849609375,18857.25,300400.0,0.0,0.0
2023-10-26 18:30:00,18928.75,19076.150390625,18926.650390625,19047.25,205200.0,0.0,0.0
2023-10-29 18:30:00,19053.400390625,19158.5,18940.0,19140.900390625,180100.0,0.0,0.0
2023-10-30 18:30:00,19232.94921875,19233.69921875,19056.44921875,19079.599609375,206000.0,0.0,0.0
2023-10-31 18:30:00,19064.05078125,19096.05078125,18973.69921875,18989.150390625,194100.0,0.0,0.0
2023-11-01 18:30:00,19120.0,19175.25,19064.150390625,19133.25,245600.0,0.0,0.0
2023-11-02 18:30:00,19241.0,19276.25,19210.900390625,19230.599609375,189500.0,0.0,0.0
2023-11-05 18:30:00,19345.849609375,19423.0,19309.69921875,19411.75,180700.0,0.0,0.0
2023-11-06 18:30:00,19404.05078125,19423.5,19329.099609375,19406.69921875,198700.0,0.0,0.0
2023-11-07 18:30:00,19449.599609375,19464.400390625,19401.5,19443.5,195000.0,0.0,0.0
2023-11-08 18:30:00,19457.400390625,19463.900390625,19378.349609375,19395.30078125,208400.0,0.0,0.0
2023-11-09 18:30:00,19351.849609375,19451.30078125,19329.44921875,19425.349609375,152200.0,0.0,0.0
2023-11-12 18:30:00,19486.75,19494.400390625,19414.75,19443.55078125,189300.0,0.0,0.0
2023-11-14 18:30:00,19651.400390625,19693.19921875,19579.650390625,19675.44921875,291500.0,0.0,0.0
2023-11-15 18:30:00,19674.69921875,19875.25,19627.0,19765.19921875,282700.0,0.0,0.0
2023-11-16 18:30:00,19674.75,19806.0,19667.44921875,19731.80078125,236800.0,0.0,0.0
2023-11-19 18:30:00,19731.150390625,19756.44921875,19670.5,19694.0,173800.0,0.0,0.0
2023-11-20 18:30:00,19770.900390625,19829.099609375,19754.05078125,19783.400390625,195000.0,0.0,0.0
2023-11-21 18:30:00,19784.0,19825.55078125,19703.849609375,19811.849609375,184500.0,0.0,0.0
2023-11-22 18:30:00,19828.44921875,19875.150390625,19786.75,19802.0,170000.0,0.0,0.0
2023-11-23 18:30:00,19809.599609375,19832.849609375,19768.849609375,19794.69921875,145900.0,0.0,0.0
2023-11-27 18:30:00,19844.650390625,19916.849609375,19800.0,19889.69921875,229600.0,0.0,0.0
2023-11-28 18:30:00,19976.55078125,20104.650390625,19956.30078125,20096.599609375,236200.0,0.0,0.0
2023-11-29 18:30:00,20108.5,20158.69921875,20015.849609375,20133.150390625,486600.0,0.0,0.0
2023-11-30 18:30:00,20194.099609375,20291.55078125,20183.69921875,20267.900390625,265800.0,0.0,0.0
2023-12-03 18:30:00,20601.94921875,20702.650390625,20507.75,20686.80078125,381100.0,0.0,0.0
2023-12-04 18:30:00,20808.900390625,20864.05078125,20711.150390625,20855.099609375,421000.0,0.0,0.0
2023-12-05 18:30:00,20950.75,20961.94921875,20852.150390625,20937.69921875,359200.0,0.0,0.0
2023-12-06 18:30:00,20932.400390625,20941.25,20850.80078125,20901.150390625,275000.0,0.0,0.0
2023-12-07 18:30:00,20934.099609375,21006.099609375,20862.69921875,20969.400390625,292400.0,0.0,0.0
2023-12-10 18:30:00,20965.30078125,21026.099609375,20923.69921875,20997.099609375,0.0,0.0,0.0
